"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
Xi arrives in U.S. for first meeting with Trump,"Xi Jinping, Rex Tillerson","Xi Jinping Meets with Alaskan Governor Bill Walker of the US, Xi arrives in U.S. for first meeting with Trump","Xi Jinping, Bill Walker, Xi Jinping, Rex Tillerson","Xi Jinping Meets with Alaskan Governor Bill Walker of the US, Xi arrives in U.S. for first meeting with Trump","Xi Jinping, Bill Walker, Xi Jinping, Rex Tillerson","Xi says ready to boost China-U.S. ties from new starting point with Trump, Xi, Trump pledge to expand mutually beneficial cooperation, manage differences , Xi arrives in U.S. for first meeting with Trump","Xi Jinping, Donald Trump, Xi Jinping, Li Zhanshu, Wang Yang, Yang Chuantang, Donald Trump, Xi Jinping, Rex Tillerson",6.4.2017 - 7.4.2017,7.4.2017,7.4.2017,TRUE,7.4.2017,"April 07, 2017",USA,Florida,Palm Beach,http://news.xinhuanet.com/english/2017-04/07/c_136188311.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26369
Xi Jinping Meets with Alaskan Governor Bill Walker of the US,"Xi Jinping, Bill Walker",Xi Jinping Meets with Alaskan Governor Bill Walker of the US,"Xi Jinping, Bill Walker",,,Xi Jinping Meets with Alaskan Governor Bill Walker of the US,"Xi Jinping, Bill Walker",7.4.2017,,7.4.2017,FALSE,7.4.2017,"April 07, 2017",USA,Alaska,Anchorage,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1453026.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26414
"China, Finland agree to advance ties, deepen cooperation ","Xi Jinping, Sauli Niinisto, Jenni Haukio, Peng Liyuan","China, Finland agree to advance ties, deepen cooperation ","Xi Jinping, Sauli Niinisto, Jenni Haukio, Peng Liyuan","China, Finland agree to advance ties, deepen cooperation ","Xi Jinping, Sauli Niinisto, Jenni Haukio, Peng Liyuan","China, Finland agree to advance ties, deepen cooperation ","Xi Jinping, Sauli Niinisto, Jenni Haukio, Peng Liyuan",5.4.2017,5.4.2017,5.4.2017,TRUE,5.4.2017,"April 05, 2017",Finland,Helsinki,,http://news.xinhuanet.com/english/2017-04/05/c_136185009.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26363
"Xi addresses Davos forum for first time to advance global growth, governance",Xi Jinping,"Xi calls for Chinese, Swiss business circles to further trade ties, Xi addresses Davos forum for first time to advance global growth, governance","Xi Jinping, Li Zhanshu, Wang Huning, Doris Leuthard, Xi Jinping","Xi calls for Chinese, Swiss business circles to further trade ties, Xi addresses Davos forum for first time to advance global growth, governance","Xi Jinping, Li Zhanshu, Wang Huning, Doris Leuthard, Xi Jinping","Xi, Leuthard attend launching ceremony of China-Switzerland Year of Tourism, Xi calls for joint efforts in building long-term, stable China-U.S. relations, Xi calls WEF ""weathervane"" of global economy, Xi meets Belgian king, supports European integration, Xi says China's development to benefit foreign business communities, Xi says Belt and Road Initiative gains increasing global support, Chinese investment surpasses 50 bln USD, Xi addresses Davos forum for first time to advance global growth, governance","Xi Jinping, Doris Leuthard, Xi Jinping, Joe Biden, Xi Jinping, Klaus Schwab, Xi Jinping,  Philippe, Xi Jinping, Xi Jinping, Xi Jinping",17.1.2017,16.1.2017 - 17.1.2017,16.1.2017,TRUE,17.1.2017,"January 17, 2017",Switzerland,Davos,,http://news.xinhuanet.com/english/2017-01/18/c_135991766.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=26005
"Xi calls for Chinese, Swiss business circles to further trade ties","Xi Jinping, Li Zhanshu, Wang Huning, Doris Leuthard","Xi calls for Chinese, Swiss business circles to further trade ties","Xi Jinping, Li Zhanshu, Wang Huning, Doris Leuthard",,,"Xi arrives in Switzerland for state visit, Davos forum, Xi eyes friendship, cooperation on Switzerland trip, China, Switzerland agree to boost ties, oppose protectionism, Chinese president arrives in Davos to attend World Economic Forum, Xi calls for Chinese, Swiss business circles to further trade ties","Xi Jinping, Xi Jinping, Doris Leuthard, Xi Jinping, Doris Leuthard, Xi Jinping, Xi Jinping, Li Zhanshu, Wang Huning, Doris Leuthard",15.1.2017 - 16.1.2017,,16.1.2017,FALSE,16.1.2017,"January 16, 2017",Switzerland,Bern,,http://news.xinhuanet.com/english/2017-01/17/c_135987608.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25999
Xi Jinping Meets with Deputy Prime Minister Soraya Saenz de Santamaria of Spain,"Xi Jinping, Soraya Saenz de Santamaria",Xi Jinping Meets with Deputy Prime Minister Soraya Saenz de Santamaria of Spain,"Xi Jinping, Soraya Saenz de Santamaria",Xi Jinping Meets with Deputy Prime Minister Soraya Saenz de Santamaria of Spain,"Xi Jinping, Soraya Saenz de Santamaria",Xi Jinping Meets with Deputy Prime Minister Soraya Saenz de Santamaria of Spain,"Xi Jinping, Soraya Saenz de Santamaria",24.11.2016,24.11.2016,24.11.2016,TRUE,24.11.2016,"November 24, 2016",Spain,Gran Canaria,,http://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1419605.shtml,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25753
"China, Chile agree to initiate talks on FTA upgrade","Xi Jinping, Michelle Bachelet","China, Chile agree to initiate talks on FTA upgrade","Xi Jinping, Michelle Bachelet","China, Chile agree to initiate talks on FTA upgrade","Xi Jinping, Michelle Bachelet","Xi Jinping Holds Talks with President Michelle Bachelet of Chile, Xi Jinping Attends Opening Ceremony of China-Latin America Media Leaders Summit, Chinese president arrives in Chile for state visit, China, Chile agree to initiate talks on FTA upgrade","Xi Jinping, Michelle Bachelet, Xi Jinping, Michelle Bachelet, Xi Jinping, Xi Jinping, Michelle Bachelet",22.11.2016,22.11.2016,22.11.2016,TRUE,22.11.2016,"November 22, 2016",Chile,Santiago,,http://news.xinhuanet.com/english/2016-11/23/c_135851112.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25716
"China, Peru agree to promote better, faster growth of ties","Xi Jinping, Pedro Pablo Kuczynski","China, Peru agree to promote better, faster growth of ties","Xi Jinping, Pedro Pablo Kuczynski","China, Peru agree to promote better, faster growth of ties","Xi Jinping, Pedro Pablo Kuczynski","Xi, Putin meet on Asia-Pacific free trade, China-Russia ties, Xi says China supports Colombia's peace process, Xi, Obama agree to maintain healthy, steady growth of China-U.S. ties, Chinese president pledges more relaxed, transparent investment environment, Xi says China supports Vietnam in hosting 2017 APEC meetings, China renews call for building FTAAP as economic globalization falters, Xi, Duterte agree to further improve ties, boost cooperation, Xi says central gov't fully acknowledges work of HKSAR chief executive, gov't, Xi Jinping Meets with President of Congress Luz Salgado of Peru, Xi Jinping and Peng Liyuan Visit the Exhibition of ""Long Distance Separates No Bosom Friends- Treasures of China"" , Xi Jinping delivers a speech at the Peruvian Congress, China, Peru agree to promote better, faster growth of ties","Xi Jinping, Vladimir Putin, Xi Jinping, Juan Manuel Santos, Xi Jinping, Barack Obama, Xi Jinping, Xi Jinping,  Tran Dai Quang, Xi Jinping, Xi Jinping, Rodrigo Duterte, Xi Jinping, Leung Chun-ying, Xi Jinping, Luz Salgado, Xi Jinping, Pablo KuPedro Czynski, Nancy Lange, Liyuan Peng, Xi Jinping, Xi Jinping, Pedro Pablo Kuczynski",19.11.2016 - 21.11.2016,21.11.2016,21.11.2016,TRUE,21.11.2016,"November 21, 2016",Peru,Lima,,http://news.xinhuanet.com/english/2016-11/22/c_135847682.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25705
"China, Ecuador upgrade relations to comprehensive strategic partnership","Xi Jinping, Rafael Correa","China, Ecuador upgrade relations to comprehensive strategic partnership","Xi Jinping, Rafael Correa","China, Ecuador upgrade relations to comprehensive strategic partnership","Xi Jinping, Rafael Correa","Xi arrives in Ecuador, kicking off third LatAm visit since 2013, Chinese president calls for stronger exchanges between legislatures for better China-Ecuador ties, Chinese president pledges further support for Ecuador's post-quake rebuilding, Chinese president wraps up visit to Ecuador, leaves for Peru, APEC meeting, China, Ecuador upgrade relations to comprehensive strategic partnership","Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Xi Jinping, Rafael Correa",17.11.2016 - 19.11.2016,19.11.2016,19.11.2016,TRUE,19.11.2016,"November 19, 2016",Ecuador,Quito,,http://news.xinhuanet.com/english/2016-11/19/c_135842724.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25687
"President Xi calls for aligning development strategies of China, Italy","Xi Jinping, Matteo Renzi","President Xi calls for aligning development strategies of China, Italy","Xi Jinping, Matteo Renzi","President Xi calls for aligning development strategies of China, Italy","Xi Jinping, Matteo Renzi","President Xi calls for aligning development strategies of China, Italy","Xi Jinping, Matteo Renzi",16.11.2016,16.11.2016,16.11.2016,TRUE,16.11.2016,"November 16, 2016",Italy,Sardinia,,http://news.xinhuanet.com/english/2016-11/17/c_135836785.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25663
President Xi attends BRICS-BIMSTEC leaders' dialogue,"Xi Jinping, Maithripala Sirisena, Narendra Modi, Jacob Zuma, Michel Temer, Vladimir Putin",President Xi attends BRICS-BIMSTEC leaders' dialogue,"Xi Jinping, Maithripala Sirisena, Narendra Modi, Jacob Zuma, Michel Temer, Vladimir Putin",President Xi attends BRICS-BIMSTEC leaders' dialogue,"Xi Jinping, Maithripala Sirisena, Narendra Modi, Jacob Zuma, Michel Temer, Vladimir Putin","BRICS leaders pose for group photo before informal dinner, Xi suggests China, Nepal forge community of shared destiny, China, S. Africa pledge deepened cooperation within BRICS, FOCAC, Xi calls for joint efforts to enrich China-India partnership, China, Russia pledge closer cooperation within multilateral frameworks, Indian PM calls on business community to work with BRICS to boost trade, President Xi attends BRICS-BIMSTEC leaders' dialogue","Xi Jinping, Michel Temer, Vladimir Putin, Narendra Modi, Jacob Zuma, Xi Jinping, Pushpa Kamal Dahal, Xi Jinping, Jacob Zuma, Xi Jinping, Narendra Modi, Xi Jinping, Vladimir Putin, Xi Jinping, Narendra Modi, Jacob Zuma, Michel Temer, Vladimir Putin, Xi Jinping, Maithripala Sirisena, Narendra Modi, Jacob Zuma, Michel Temer, Vladimir Putin",15.10.2016 - 16.10.2016,16.10.2016,16.10.2016,TRUE,16.10.2016,"October 16, 2016",India,Goa,,http://news.xinhuanet.com/english/2016-10/17/c_135758621.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25504
"China, Bangladesh lift ties to strategic partnership of cooperation","Xi Jinping, Sheikh Hasina","China, Bangladesh lift ties to strategic partnership of cooperation","Xi Jinping, Sheikh Hasina","China, Bangladesh lift ties to strategic partnership of cooperation","Xi Jinping, Sheikh Hasina","Xi calls for closer China-Bangladesh parliamentary exchanges, Chinese president welcomes opportunities for China-Bangladesh ties, Xi pledges to strengthen party-to-party exchanges with Bangladesh, China, Bangladesh lift ties to strategic partnership of cooperation","Xi Jinping, Xi Jinping, Abdul Hamid, Xi Jinping, Khaleda Zia, Xi Jinping, Sheikh Hasina",14.10.2016,14.10.2016,14.10.2016,TRUE,14.10.2016,"October 14, 2016",Bangladesh,Dhaka,,http://news.xinhuanet.com/english/2016-10/15/c_135755451.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25475
"China, Cambodia to forge ahead with cooperation, ties","Xi Jinping, Norodom Sihamoni","China, Cambodia to forge ahead with cooperation, ties","Xi Jinping, Norodom Sihamoni","China, Cambodia to forge ahead with cooperation, ties","Xi Jinping, Norodom Sihamoni","China, Cambodia agree to advance close ties, Xi Jinping congratulates his Portuguese counterpart over Guterres' appointment as next UN secretary-general, Xi Jinping visits Cambodian Queen Mother on boosting traditional friendship, China, Cambodia to forge ahead with cooperation, ties","Xi Jinping, Hun Sen, Xi Jinping, Marcelo Rebelo de Sousa, Xi Jinping, Norodom Monineath Sihanouk, Xi Jinping, Norodom Sihamoni",13.10.2016,13.10.2016,13.10.2016,TRUE,13.10.2016,"October 13, 2016",Cambodia,Phnom Penh,,http://news.xinhuanet.com/english/2016-10/14/c_135752458.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25461
"President Xi urges China, Thailand to enhance cooperation","Xi Jinping, Prayuth Chan-ocha","President Xi urges China, Thailand to enhance cooperation","Xi Jinping, Prayuth Chan-ocha","President Xi urges China, Thailand to enhance cooperation","Xi Jinping, Prayuth Chan-ocha","President Xi urges China, Thailand to enhance cooperation","Xi Jinping, Prayuth Chan-ocha",4.9.2016,4.9.2016,4.9.2016,TRUE,4.9.2016,"September 04, 2016",,,,http://news.xinhuanet.com/english/2016-09/05/c_135660827.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=25229
"Xi, participants, observers of 16th SCO Council of Heads of State meeting pose for group photo",Xi Jinping,"Xi, participants, observers of 16th SCO Council of Heads of State meeting pose for group photo",Xi Jinping,"Xi, participants, observers of 16th SCO Council of Heads of State meeting pose for group photo",Xi Jinping,"Chinese, Uzbek leaders hail inauguration of Central Asia's longest railway tunnel, Xi, Putin meet on promoting SCO's regional role, China expects closer cooperation with India under SCO framework, China, Russia, Mongolia endorse development plan on economic corridor, Xi, Putin meet on promoting SCO's regional role, Xi puts forward five-point proposal to consolidate, deepen SCO cooperation, China, Kazakhstan pledge to align development strategies, Chinese president calls for steady implementation of major cooperation projects with Belarus, Kyrgyzstan welcomes China to participate in infrastructure construction, Chinese president meets with Afghan counterpart in Tashkent, Xi, participants, observers of 16th SCO Council of Heads of State meeting pose for group photo","Xi Jinping, Xi Jinping, Vladimir Putin, Xi Jinping, Narendra Modi, Xi Jinping, Vladimir Putin, Tsakhiagiin Elbegdorj, Xi Jinping, Vladimir Putin, Xi Jinping, Xi Jinping, Nursultan Nazarbayev, Xi Jinping, Alexander Lukashenko, Xi Jinping, Almazbek Atambayev, Xi Jinping, Mohammad Ashraf Ghani, Xi Jinping",22.6.2016 - 24.6.2016,24.6.2016,24.6.2016,TRUE,24.6.2016,"June 24, 2016",Uzbekistan,Tashkent,,http://news.xinhuanet.com/english/photo/2016-06/24/c_135464481.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=24814
"Belt and Road Initiative accelerates cooperation between China, Uzbekistan",Xi Jinping,"Belt and Road Initiative accelerates cooperation between China, Uzbekistan",Xi Jinping,"Belt and Road Initiative accelerates cooperation between China, Uzbekistan",Xi Jinping,"Belt and Road Initiative accelerates cooperation between China, Uzbekistan",Xi Jinping,18.6.2016,18.6.2016,18.6.2016,TRUE,18.6.2016,"June 18, 2016",Uzbekistan,Tashkent,,http://news.xinhuanet.com/english/2016-06/18/c_135447423.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=24807
"Chinese president concludes Serbia visit, leaves for Poland","Xi Jinping, Tomislav Nikolic","Chinese president concludes Serbia visit, leaves for Poland","Xi Jinping, Tomislav Nikolic","Chinese president concludes Serbia visit, leaves for Poland","Xi Jinping, Tomislav Nikolic","Xi urges Chinese, Serbian legislatures to increase exchanges, Xi meets Serbian PM on pragmatic cooperation, China-CEE ties, Chinese people cherish memory of Bata, Xi visits Chinese-invested steel plant in Serbia, Chinese president concludes Serbia visit, leaves for Poland","Xi Jinping, Maja Gojkovic, Xi Jinping, Aleksandar Vucic, Xi Jinping, Julijana Lula Zivojinovic, Xi Jinping, Li Yuanchao, Tomislav Nikolic, Aleksandar Vucic, Xi Jinping, Tomislav Nikolic",18.6.2016 - 19.6.2016,19.6.2016,19.6.2016,TRUE,19.6.2016,"June 19, 2016",Serbia,Belgrade,,http://news.xinhuanet.com/english/2016-06/19/c_135449190.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=24801
Xi meets Obama on sidelines of 4th Nuclear Security Summit,"Xi Jinping, Yang Chuantang, Barack Obama",Xi meets Obama on sidelines of 4th Nuclear Security Summit,"Xi Jinping, Yang Chuantang, Barack Obama",Xi meets Obama on sidelines of 4th Nuclear Security Summit,"Xi Jinping, Yang Chuantang, Barack Obama","Chinese president arrives in Washington for Nuclear Security Summit, Xi Jinping Meets with Prime Minister Lars Løkke Rasmussen of Denmark, Xi calls for closer global nuclear security cooperation in new circumstances, Xi calls for full implementation of UN resolutions on DPRK, China, U.S. agree to expand common interests, control differences, China, U.S. vow to boost nuclear security cooperation, Xi arrives in Washington for nuclear security summit, Xi calls for bigger progress in China-Denmark ties, Xi urges dialogue on Korean Peninsula predicament, China vows to strengthen nuclear security with new measures, Xi meets Argentine president on relations, cooperation, Xi calls for more national input, int'l cooperation to strengthen global nuclear security system, Xi meets Obama on sidelines of 4th Nuclear Security Summit","Xi Jinping, Xi Jinping, Lars Rasmussen, Xi Jinping, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Barack Obama, Xi Jinping, Xi Jinping, Lars Rasmussen, Xi Jinping, Geun-Hye Park, Xi Jinping, Xi Jinping, Mauricio Macri, Xi Jinping, Xi Jinping, Yang Chuantang, Barack Obama",30.3.2016 - 1.4.2016,1.4.2016,1.4.2016,TRUE,1.4.2016,"April 01, 2016",USA,Washington D.C.,,http://news.xinhuanet.com/english/photo/2016-04/01/c_135242410.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=24304
